Día,Damage Promedio,Densidad Promedio,Fracción de Volumen Promedio,Energia de Deformacion,Modulo de elasticidad promedio,% de Cenizas alpha,Promedios densida tejido
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2250127578994352e-09,1.5014484577999965,0.6788181399225652,215.24808998409912,9939951.678105164,0.6215943489999999,2.21185671021
3,3.4673637294702075e-09,1.5014484564863897,0.678818139328672,212.78550108121317,9939951.655816304,0.6215943489999999,2.21185671021
4,6.53288223517734e-09,1.501448454690331,0.6788181385166578,209.3072135462682,9939951.625345198,0.6215943489999999,2.21185671021
5,1.0241523185072765e-08,1.5014484525171157,0.678818137534128,205.0771549548951,9939951.588481486,0.6215943489999999,2.21185671021
6,1.4427042005493718e-08,1.5014484500639813,0.6788181364250442,200.3413113321567,9939951.546877632,0.6215943489999999,2.21185671021
7,1.8936918144696335e-08,1.501448447420174,0.6788181352297555,195.3068617357561,9939951.50204968,0.6215943489999999,2.21185671021
8,2.3632323764566365e-08,1.5014484446669751,0.67881813398501,190.1373050933065,9939951.455377575,0.6215943489999999,2.21185671021
9,2.8388123296529955e-08,1.5014484418777037,0.6788181327239557,184.9554452335815,9939951.408105157,0.6215943489999999,2.21185671021
10,3.309289497988033e-08,1.501448439117696,0.6788181314761318,179.8495848629656,9939951.361339955,0.6215943489999999,2.21185671021
11,3.7648959727576425e-08,1.5014484364442815,0.6788181302674571,174.88043238997136,9939951.316052891,0.6215943489999999,2.21185671021
12,4.197242220449482e-08,1.5014484339067458,0.6788181291202149,170.08750732351936,9939951.273077883,0.6215943489999999,2.21185671021
13,4.599321001830248e-08,1.5014484315463013,0.6788181280530371,165.49455529405313,9939951.233111447,0.6215943489999999,2.21185671021
14,4.9655109801705066e-08,1.5014484293960497,0.6788181270808893,161.1138771932739,9939951.19671234,0.6215943489999999,2.21185671021
15,5.2915809289899585e-08,1.5014484274809512,0.6788181262150563,156.9496752446596,9939951.164301144,0.6215943489999999,2.21185671021
16,5.5746928073752144e-08,1.5014484258177951,0.6788181254631288,153.00056462329516,9939951.13615996,0.6215943489999999,2.21185671021
17,5.813404913013187e-08,1.5014484244151716,0.6788181248289901,149.2614213766855,9939951.112432092,0.6215943489999999,2.21185671021
18,6.007674946406638e-08,1.5014484232734473,0.6788181243128067,145.72472351674298,9939951.093121745,0.6215943489999999,2.21185671021
19,6.15886235344476e-08,1.5014484223847449,0.6788181239110163,142.3815116506092,9939951.07809379,0.6215943489999999,2.21185671021
20,6.269730679075991e-08,1.50144842173292,0.6788181236163204,139.22206354392972,9939951.067073531,0.6215943489999999,2.21185671021
21,6.344449665629526e-08,1.5014484212935464,0.678818123417676,136.2363594372295,9939951.0596465,0.6215943489999999,2.21185671021
22,6.388596907047628e-08,1.5014484210338999,0.6788181233002875,133.41439894257005,9939951.055258285,0.6215943489999999,2.21185671021
23,6.409159547526855e-08,1.5014484209129426,0.6788181232456016,130.74641826399008,9939951.05321437,0.6215943489999999,2.21185671021
24,6.41453573591022e-08,1.501448420881313,0.6788181232313014,128.22302092533573,9939951.052679978,0.6215943489999999,2.21185671021
25,6.41453573591022e-08,1.501448420881313,0.6788181232313014,125.83525812750274,9939951.052679978,0.6215943489999999,2.21185671021
26,9.781745946568776e-08,1.5014484010673745,0.6788181142732445,127.6486555952673,9939950.71798091,0.6215943489999999,2.21185671021
27,1.3282405697534472e-07,1.5014483804716292,0.6788181049617257,130.43788402772944,9939950.370017022,0.6215943489999999,2.21185671021
28,1.6916239453657056e-07,1.5014483590964676,0.6788180952978258,133.6936009889158,9939950.008815702,0.6215943489999999,2.21185671021
29,2.068290909651438e-07,1.5014483369448195,0.6788180852828697,137.54690033190073,9939949.63441056,0.6215943489999999,2.21185671021
30,2.458198975485715e-07,1.501448314020368,0.6788180749185223,142.18916097687435,9939949.246843826,0.6215943489999999,2.21185671021
31,2.861293173506141e-07,1.5014482903278767,0.678818064206937,147.91411799953815,9939948.84617014,0.6215943489999999,2.21185671021
32,3.277499638354442e-07,1.5014482658737434,0.6788180531510069,155.2037160664962,9939948.432462925,0.6215943489999999,2.21185671021
33,-1.1470633972887612e-05,1.5014558025284752,0.6788214605393322,153.48420284580226,9940065.70782928,0.6215943489999999,2.21185671021
34,-2.3657152758094213e-05,1.5014635892921704,0.6788249810041344,150.50200819093376,9940186.841237277,0.6215943489999999,2.21185671021
35,-3.623251922402204e-05,1.5014716266558124,0.6788286147673906,147.69871732808397,9940311.839772435,0.6215943489999999,2.21185671021
36,-4.919742262532445e-05,1.501479915093896,0.678832362043625,145.05706718305453,9940440.710285915,0.6215943489999999,2.21185671021
37,-6.255253070586164e-05,1.5014884550666427,0.6788362230409072,142.56221465861609,9940573.459415052,0.6215943489999999,2.21185671021
38,-7.629848916756998e-05,1.5014972470192867,0.6788401979605317,140.2012875971611,9940710.0935781,0.6215943489999999,2.21185671021
39,-9.043592147817137e-05,1.5015062913820032,0.6788442869969843,137.9630432208919,9940850.61897229,0.6215943489999999,2.21185671021
40,-0.0001049654286042756,1.5015155885695617,0.6788484903377865,135.83759751057295,9940995.041571207,0.6215943489999999,2.21185671021
41,-0.0001198875889689699,1.5015251389814233,0.678852808163538,133.81620908559583,9941143.367124347,0.6215943489999999,2.21185671021
42,-0.00013520295811741967,1.501534943001085,0.6788572406476207,131.89110877473323,9941295.601153802,0.6215943489999999,2.21185671021
43,-0.00015091206883410813,1.5015450009964537,0.6788617879563693,130.0553566000424,9941451.748955423,0.6215943489999999,2.21185671021
44,-0.0001670154311257388,1.5015553133198667,0.678866450249078,128.30272581798204,9941611.815598654,0.6215943489999999,2.21185671021
45,-0.00018351353213219568,1.5015658803079037,0.6788712276779181,126.62760735674405,9941775.80592564,0.6215943489999999,2.21185671021
46,-0.00020040683603061993,1.5015767022811712,0.678876120387838,125.02492968149438,9941943.724550279,0.6215943489999999,2.21185671021
